ID,Keyword/Phrase,Category,Risk Level,Sample Context,Engagement Weight
1,break india,Separatist,Medium,Example usage of 'break india' in a post about separatist,1300
2,anti hindu,Cultural/Religious,High,Example usage of 'anti hindu' in a post about cultural/religious,603
3,#indiamustfall,Hashtags,High,Example usage of '#indiamustfall' in a post about hashtags,1137
4,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,78
5,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,3302
6,fake indian news,Disinformation,Low,Example usage of 'fake indian news' in a post about disinformation,1891
7,secede from india,Separatist,High,Example usage of 'secede from india' in a post about separatist,4139
8,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,4980
9,destroy delhi,Violent,High,Example usage of 'destroy delhi' in a post about violent,4457
10,fake indian news,Disinformation,High,Example usage of 'fake indian news' in a post about disinformation,1452
11,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,1234
12,fake indian news,Disinformation,Low,Example usage of 'fake indian news' in a post about disinformation,4942
13,resign pm,Anti-Government,Medium,Example usage of 'resign pm' in a post about anti-government,1620
14,#indiaterror,Hashtags,High,Example usage of '#indiaterror' in a post about hashtags,3339
15,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,2682
16,down with govt,Anti-Government,Medium,Example usage of 'down with govt' in a post about anti-government,2501
17,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,4881
18,india spreading lies,Disinformation,Medium,Example usage of 'india spreading lies' in a post about disinformation,496
19,#boycottindia,Hashtags,Low,Example usage of '#boycottindia' in a post about hashtags,2224
20,#endindia,Hashtags,Low,Example usage of '#endindia' in a post about hashtags,4228
21,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,1796
22,#boycottindia,Hashtags,Medium,Example usage of '#boycottindia' in a post about hashtags,4827
23,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,2363
24,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,4139
25,#indiamustfall,Hashtags,High,Example usage of '#indiamustfall' in a post about hashtags,3572
26,anti hindu,Cultural/Religious,High,Example usage of 'anti hindu' in a post about cultural/religious,656
27,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,2270
28,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,3311
29,india spreading lies,Disinformation,High,Example usage of 'india spreading lies' in a post about disinformation,4342
30,free kashmir,Separatist,Medium,Example usage of 'free kashmir' in a post about separatist,837
31,stop diwali,Cultural/Religious,High,Example usage of 'stop diwali' in a post about cultural/religious,3364
32,down with govt,Anti-Government,Medium,Example usage of 'down with govt' in a post about anti-government,2146
33,anti modi,Anti-Government,High,Example usage of 'anti modi' in a post about anti-government,931
34,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,4715
35,armed struggle,Violent,Medium,Example usage of 'armed struggle' in a post about violent,419
36,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,1592
37,free kashmir,Separatist,Low,Example usage of 'free kashmir' in a post about separatist,1093
38,break india,Separatist,Medium,Example usage of 'break india' in a post about separatist,1245
39,#indiaterror,Hashtags,Medium,Example usage of '#indiaterror' in a post about hashtags,1620
40,anti hindu,Cultural/Religious,Low,Example usage of 'anti hindu' in a post about cultural/religious,4135
41,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,4080
42,dictatorship india,Anti-Government,High,Example usage of 'dictatorship india' in a post about anti-government,3573
43,india spreading lies,Disinformation,High,Example usage of 'india spreading lies' in a post about disinformation,1964
44,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,1158
45,#endindia,Hashtags,Low,Example usage of '#endindia' in a post about hashtags,3672
46,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,711
47,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,4040
48,remove temples,Cultural/Religious,Medium,Example usage of 'remove temples' in a post about cultural/religious,4839
49,#indiaterror,Hashtags,Low,Example usage of '#indiaterror' in a post about hashtags,3898
50,propaganda india,Disinformation,Medium,Example usage of 'propaganda india' in a post about disinformation,2201
51,#indiaterror,Hashtags,Medium,Example usage of '#indiaterror' in a post about hashtags,2193
52,#indiamustfall,Hashtags,Medium,Example usage of '#indiamustfall' in a post about hashtags,3128
53,destroy delhi,Violent,Medium,Example usage of 'destroy delhi' in a post about violent,4686
54,propaganda india,Disinformation,Medium,Example usage of 'propaganda india' in a post about disinformation,761
55,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,1025
56,resign pm,Anti-Government,High,Example usage of 'resign pm' in a post about anti-government,2322
57,kill forces,Violent,Medium,Example usage of 'kill forces' in a post about violent,756
58,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,4110
59,attack india,Violent,Low,Example usage of 'attack india' in a post about violent,562
60,anti modi,Anti-Government,High,Example usage of 'anti modi' in a post about anti-government,4519
61,secede from india,Separatist,Medium,Example usage of 'secede from india' in a post about separatist,378
62,khalistan zindabad,Separatist,Low,Example usage of 'khalistan zindabad' in a post about separatist,3712
63,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,682
64,attack india,Violent,Low,Example usage of 'attack india' in a post about violent,2729
65,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,530
66,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,2705
67,dictatorship india,Anti-Government,High,Example usage of 'dictatorship india' in a post about anti-government,1882
68,armed struggle,Violent,Medium,Example usage of 'armed struggle' in a post about violent,196
69,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,1221
70,dictatorship india,Anti-Government,Low,Example usage of 'dictatorship india' in a post about anti-government,1176
71,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,578
72,armed struggle,Violent,High,Example usage of 'armed struggle' in a post about violent,2269
73,down with govt,Anti-Government,Low,Example usage of 'down with govt' in a post about anti-government,947
74,#indiaterror,Hashtags,Medium,Example usage of '#indiaterror' in a post about hashtags,2856
75,destroy delhi,Violent,High,Example usage of 'destroy delhi' in a post about violent,1508
76,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,4455
77,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,468
78,propaganda india,Disinformation,High,Example usage of 'propaganda india' in a post about disinformation,2686
79,propaganda india,Disinformation,High,Example usage of 'propaganda india' in a post about disinformation,2240
80,dictatorship india,Anti-Government,High,Example usage of 'dictatorship india' in a post about anti-government,3813
81,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,3653
82,#boycottindia,Hashtags,Medium,Example usage of '#boycottindia' in a post about hashtags,3093
83,stop diwali,Cultural/Religious,Medium,Example usage of 'stop diwali' in a post about cultural/religious,3728
84,#indiaterror,Hashtags,Medium,Example usage of '#indiaterror' in a post about hashtags,2618
85,free kashmir,Separatist,High,Example usage of 'free kashmir' in a post about separatist,955
86,secede from india,Separatist,Medium,Example usage of 'secede from india' in a post about separatist,1792
87,secede from india,Separatist,Low,Example usage of 'secede from india' in a post about separatist,195
88,dictatorship india,Anti-Government,Low,Example usage of 'dictatorship india' in a post about anti-government,1459
89,fake indian news,Disinformation,Low,Example usage of 'fake indian news' in a post about disinformation,1355
90,stop diwali,Cultural/Religious,Medium,Example usage of 'stop diwali' in a post about cultural/religious,4625
91,#boycottindia,Hashtags,Medium,Example usage of '#boycottindia' in a post about hashtags,2806
92,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,1642
93,destroy delhi,Violent,Medium,Example usage of 'destroy delhi' in a post about violent,2349
94,propaganda india,Disinformation,Low,Example usage of 'propaganda india' in a post about disinformation,4939
95,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,959
96,india spreading lies,Disinformation,High,Example usage of 'india spreading lies' in a post about disinformation,4916
97,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,867
98,attack india,Violent,High,Example usage of 'attack india' in a post about violent,3975
99,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,245
100,destroy delhi,Violent,Medium,Example usage of 'destroy delhi' in a post about violent,3660
101,attack india,Violent,Low,Example usage of 'attack india' in a post about violent,2832
102,stop diwali,Cultural/Religious,Medium,Example usage of 'stop diwali' in a post about cultural/religious,2831
103,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,4046
104,#indiamustfall,Hashtags,Medium,Example usage of '#indiamustfall' in a post about hashtags,4616
105,fake indian news,Disinformation,High,Example usage of 'fake indian news' in a post about disinformation,1022
106,break india,Separatist,High,Example usage of 'break india' in a post about separatist,191
107,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,1769
108,free kashmir,Separatist,Medium,Example usage of 'free kashmir' in a post about separatist,4954
109,down with govt,Anti-Government,Low,Example usage of 'down with govt' in a post about anti-government,2203
110,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,978
111,ban hindu,Cultural/Religious,High,Example usage of 'ban hindu' in a post about cultural/religious,4682
112,ban hindu,Cultural/Religious,Medium,Example usage of 'ban hindu' in a post about cultural/religious,1800
113,india spreading lies,Disinformation,Medium,Example usage of 'india spreading lies' in a post about disinformation,675
114,secede from india,Separatist,Medium,Example usage of 'secede from india' in a post about separatist,4479
115,armed struggle,Violent,Medium,Example usage of 'armed struggle' in a post about violent,1408
116,destroy delhi,Violent,Medium,Example usage of 'destroy delhi' in a post about violent,4642
117,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,3736
118,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,973
119,attack india,Violent,High,Example usage of 'attack india' in a post about violent,3379
120,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,1682
121,stop diwali,Cultural/Religious,Medium,Example usage of 'stop diwali' in a post about cultural/religious,2076
122,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,2650
123,resign pm,Anti-Government,Medium,Example usage of 'resign pm' in a post about anti-government,4637
124,#boycottindia,Hashtags,Medium,Example usage of '#boycottindia' in a post about hashtags,3971
125,kill forces,Violent,Medium,Example usage of 'kill forces' in a post about violent,325
126,fake indian news,Disinformation,High,Example usage of 'fake indian news' in a post about disinformation,3156
127,khalistan zindabad,Separatist,Low,Example usage of 'khalistan zindabad' in a post about separatist,4234
128,#indiaterror,Hashtags,Medium,Example usage of '#indiaterror' in a post about hashtags,1931
129,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,3574
130,india spreading lies,Disinformation,Low,Example usage of 'india spreading lies' in a post about disinformation,866
131,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,295
132,destroy delhi,Violent,High,Example usage of 'destroy delhi' in a post about violent,1758
133,secede from india,Separatist,Medium,Example usage of 'secede from india' in a post about separatist,4218
134,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,2651
135,india spreading lies,Disinformation,Medium,Example usage of 'india spreading lies' in a post about disinformation,4137
136,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,2543
137,fake indian news,Disinformation,High,Example usage of 'fake indian news' in a post about disinformation,2144
138,#boycottindia,Hashtags,High,Example usage of '#boycottindia' in a post about hashtags,1748
139,resign pm,Anti-Government,Medium,Example usage of 'resign pm' in a post about anti-government,1103
140,dictatorship india,Anti-Government,High,Example usage of 'dictatorship india' in a post about anti-government,804
141,india spreading lies,Disinformation,Medium,Example usage of 'india spreading lies' in a post about disinformation,2325
142,india spreading lies,Disinformation,Medium,Example usage of 'india spreading lies' in a post about disinformation,1235
143,kill forces,Violent,High,Example usage of 'kill forces' in a post about violent,3200
144,secede from india,Separatist,Low,Example usage of 'secede from india' in a post about separatist,1524
145,armed struggle,Violent,High,Example usage of 'armed struggle' in a post about violent,2585
146,#boycottindia,Hashtags,Medium,Example usage of '#boycottindia' in a post about hashtags,2732
147,propaganda india,Disinformation,Medium,Example usage of 'propaganda india' in a post about disinformation,3004
148,ban hindu,Cultural/Religious,Medium,Example usage of 'ban hindu' in a post about cultural/religious,3976
149,attack india,Violent,High,Example usage of 'attack india' in a post about violent,2126
150,anti modi,Anti-Government,High,Example usage of 'anti modi' in a post about anti-government,3497
151,secede from india,Separatist,High,Example usage of 'secede from india' in a post about separatist,1804
152,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,3767
153,down with govt,Anti-Government,Medium,Example usage of 'down with govt' in a post about anti-government,2946
154,#indiaterror,Hashtags,Low,Example usage of '#indiaterror' in a post about hashtags,3178
155,stop diwali,Cultural/Religious,Medium,Example usage of 'stop diwali' in a post about cultural/religious,3242
156,stop diwali,Cultural/Religious,Low,Example usage of 'stop diwali' in a post about cultural/religious,3723
157,#boycottindia,Hashtags,Low,Example usage of '#boycottindia' in a post about hashtags,1098
158,#endindia,Hashtags,High,Example usage of '#endindia' in a post about hashtags,377
159,resign pm,Anti-Government,High,Example usage of 'resign pm' in a post about anti-government,1673
160,stop diwali,Cultural/Religious,Medium,Example usage of 'stop diwali' in a post about cultural/religious,4564
161,ban hindu,Cultural/Religious,High,Example usage of 'ban hindu' in a post about cultural/religious,3272
162,break india,Separatist,High,Example usage of 'break india' in a post about separatist,788
163,free kashmir,Separatist,High,Example usage of 'free kashmir' in a post about separatist,2201
164,free kashmir,Separatist,Low,Example usage of 'free kashmir' in a post about separatist,3537
165,khalistan zindabad,Separatist,High,Example usage of 'khalistan zindabad' in a post about separatist,657
166,down with govt,Anti-Government,Medium,Example usage of 'down with govt' in a post about anti-government,257
167,free kashmir,Separatist,Medium,Example usage of 'free kashmir' in a post about separatist,4107
168,armed struggle,Violent,High,Example usage of 'armed struggle' in a post about violent,4166
169,secede from india,Separatist,Medium,Example usage of 'secede from india' in a post about separatist,863
170,resign pm,Anti-Government,Medium,Example usage of 'resign pm' in a post about anti-government,3701
171,dictatorship india,Anti-Government,Medium,Example usage of 'dictatorship india' in a post about anti-government,513
172,#indiaterror,Hashtags,High,Example usage of '#indiaterror' in a post about hashtags,1985
173,kill forces,Violent,Medium,Example usage of 'kill forces' in a post about violent,1498
174,#endindia,Hashtags,Low,Example usage of '#endindia' in a post about hashtags,1481
175,free kashmir,Separatist,Low,Example usage of 'free kashmir' in a post about separatist,4687
176,fake indian news,Disinformation,Low,Example usage of 'fake indian news' in a post about disinformation,2546
177,armed struggle,Violent,Low,Example usage of 'armed struggle' in a post about violent,4029
178,anti hindu,Cultural/Religious,Low,Example usage of 'anti hindu' in a post about cultural/religious,4197
179,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,4126
180,anti hindu,Cultural/Religious,Medium,Example usage of 'anti hindu' in a post about cultural/religious,4465
181,kill forces,Violent,High,Example usage of 'kill forces' in a post about violent,29
182,#endindia,Hashtags,Medium,Example usage of '#endindia' in a post about hashtags,3650
183,khalistan zindabad,Separatist,Medium,Example usage of 'khalistan zindabad' in a post about separatist,4435
184,destroy delhi,Violent,Medium,Example usage of 'destroy delhi' in a post about violent,3889
185,remove temples,Cultural/Religious,High,Example usage of 'remove temples' in a post about cultural/religious,599
186,propaganda india,Disinformation,Low,Example usage of 'propaganda india' in a post about disinformation,1270
187,india spreading lies,Disinformation,Medium,Example usage of 'india spreading lies' in a post about disinformation,3688
188,anti hindu,Cultural/Religious,Medium,Example usage of 'anti hindu' in a post about cultural/religious,4770
189,kill forces,Violent,Medium,Example usage of 'kill forces' in a post about violent,1392
190,fake indian news,Disinformation,High,Example usage of 'fake indian news' in a post about disinformation,506
191,kill forces,Violent,Medium,Example usage of 'kill forces' in a post about violent,948
192,#indiamustfall,Hashtags,Medium,Example usage of '#indiamustfall' in a post about hashtags,2771
193,secede from india,Separatist,Medium,Example usage of 'secede from india' in a post about separatist,4117
194,india spreading lies,Disinformation,Medium,Example usage of 'india spreading lies' in a post about disinformation,4655
195,#endindia,Hashtags,Low,Example usage of '#endindia' in a post about hashtags,3622
196,free kashmir,Separatist,High,Example usage of 'free kashmir' in a post about separatist,1025
197,#indiaterror,Hashtags,High,Example usage of '#indiaterror' in a post about hashtags,2279
198,free kashmir,Separatist,Low,Example usage of 'free kashmir' in a post about separatist,3221
199,anti modi,Anti-Government,Low,Example usage of 'anti modi' in a post about anti-government,3063
200,resign pm,Anti-Government,Medium,Example usage of 'resign pm' in a post about anti-government,2707
201,free kashmir,Separatist,Low,Example usage of 'free kashmir' in a post about separatist,4622
202,kill forces,Violent,Medium,Example usage of 'kill forces' in a post about violent,4540
203,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,4413
204,anti hindu,Cultural/Religious,High,Example usage of 'anti hindu' in a post about cultural/religious,3216
205,kill forces,Violent,Medium,Example usage of 'kill forces' in a post about violent,2369
206,resign pm,Anti-Government,High,Example usage of 'resign pm' in a post about anti-government,2572
207,propaganda india,Disinformation,Medium,Example usage of 'propaganda india' in a post about disinformation,4085
208,resign pm,Anti-Government,Medium,Example usage of 'resign pm' in a post about anti-government,3634
209,armed struggle,Violent,Medium,Example usage of 'armed struggle' in a post about violent,3995
210,#indiamustfall,Hashtags,Medium,Example usage of '#indiamustfall' in a post about hashtags,4777
211,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,3031
212,anti modi,Anti-Government,Medium,Example usage of 'anti modi' in a post about anti-government,4768
213,kill forces,Violent,Medium,Example usage of 'kill forces' in a post about violent,1480
214,armed struggle,Violent,Medium,Example usage of 'armed struggle' in a post about violent,3974
215,remove temples,Cultural/Religious,Medium,Example usage of 'remove temples' in a post about cultural/religious,4986
216,anti modi,Anti-Government,High,Example usage of 'anti modi' in a post about anti-government,3299
217,remove temples,Cultural/Religious,Low,Example usage of 'remove temples' in a post about cultural/religious,631
218,#boycottindia,Hashtags,Medium,Example usage of '#boycottindia' in a post about hashtags,4861
219,remove temples,Cultural/Religious,Medium,Example usage of 'remove temples' in a post about cultural/religious,197
220,attack india,Violent,High,Example usage of 'attack india' in a post about violent,121
221,#boycottindia,Hashtags,Low,Example usage of '#boycottindia' in a post about hashtags,4255
222,#indiaterror,Hashtags,Medium,Example usage of '#indiaterror' in a post about hashtags,667
223,remove temples,Cultural/Religious,Low,Example usage of 'remove temples' in a post about cultural/religious,1406
224,anti modi,Anti-Government,High,Example usage of 'anti modi' in a post about anti-government,1583
225,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,2452
226,anti modi,Anti-Government,High,Example usage of 'anti modi' in a post about anti-government,2193
227,free kashmir,Separatist,Medium,Example usage of 'free kashmir' in a post about separatist,4432
228,#boycottindia,Hashtags,Low,Example usage of '#boycottindia' in a post about hashtags,237
229,anti hindu,Cultural/Religious,Medium,Example usage of 'anti hindu' in a post about cultural/religious,854
230,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,2438
231,armed struggle,Violent,Medium,Example usage of 'armed struggle' in a post about violent,3217
232,khalistan zindabad,Separatist,Low,Example usage of 'khalistan zindabad' in a post about separatist,4396
233,destroy delhi,Violent,High,Example usage of 'destroy delhi' in a post about violent,2889
234,destroy delhi,Violent,Low,Example usage of 'destroy delhi' in a post about violent,1302
235,free kashmir,Separatist,Medium,Example usage of 'free kashmir' in a post about separatist,1007
236,fake indian news,Disinformation,High,Example usage of 'fake indian news' in a post about disinformation,192
237,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,4049
238,remove temples,Cultural/Religious,High,Example usage of 'remove temples' in a post about cultural/religious,3840
239,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,1226
240,ban hindu,Cultural/Religious,Low,Example usage of 'ban hindu' in a post about cultural/religious,2175
241,#indiamustfall,Hashtags,Low,Example usage of '#indiamustfall' in a post about hashtags,996
242,down with govt,Anti-Government,High,Example usage of 'down with govt' in a post about anti-government,4348
243,#boycottindia,Hashtags,Medium,Example usage of '#boycottindia' in a post about hashtags,3358
244,attack india,Violent,Medium,Example usage of 'attack india' in a post about violent,1934
245,dictatorship india,Anti-Government,Low,Example usage of 'dictatorship india' in a post about anti-government,3065
246,fake indian news,Disinformation,Medium,Example usage of 'fake indian news' in a post about disinformation,3540
247,dictatorship india,Anti-Government,Low,Example usage of 'dictatorship india' in a post about anti-government,4115
248,secede from india,Separatist,Medium,Example usage of 'secede from india' in a post about separatist,4407
249,#indiamustfall,Hashtags,Medium,Example usage of '#indiamustfall' in a post about hashtags,4966
250,khalistan zindabad,Separatist,High,Example usage of 'khalistan zindabad' in a post about separatist,989
